SKUs,Category,Product ID,Brand,Description,OLD Price,SALE Price,Long descriptions,Images
P-LTEAP18-GL,Home/ Routers/ Enterprise Integrated Branch Routers/ Cisco Catalyst 8300 Series Edge Platforms/ P-LTEAP18-GL,P-LTEAP18-GL,Cisco,4G/CAT18 LTE Advanced Pro Pluggable - Global,"US$1,500.00","$1,040.00","<div class=""tab-content"">
<h2><span class=""lpdname"">P-LTEAP18-GL</span> Specification </h2>
<div class=""std"">
        
        4G/CAT18 LTE Advanced Pro Pluggable - Global    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8000-series-edge-platforms-modules-cards-10.jpg 
NIM-24A,Home/ Routers/ Enterprise Integrated Branch Routers/ Cisco Catalyst 8300 Series Edge Platforms/ NIM-24A,NIM-24A,Cisco,24-port Asynchronous Module,"US$16,675.00","$1,288.00","<div class=""tab-content"">
<h2><span class=""lpdname"">NIM-24A</span> Specification </h2>
<div class=""std"">
        
        24-port Asynchronous Module    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8000-series-edge-platforms-modules-cards-9_5.jpg 
NIM-16A,Home/ Routers/ Enterprise Integrated Branch Routers/ Cisco Catalyst 8300 Series Edge Platforms/ NIM-16A,NIM-16A,Cisco,16-port Asynchronous Module,US$877.00,$918.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">NIM-16A</span> Specification </h2>
<div class=""std"">
        
        16-port Asynchronous Module    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8000-series-edge-platforms-modules-cards-9_4.jpg 
NIM-4SHDSL-EA,Home/ Routers/ Enterprise Integrated Branch Routers/ Cisco Catalyst 8300 Series Edge Platforms/ NIM-4SHDSL-EA,NIM-4SHDSL-EA,Cisco,Multi-mode G.SHDSL NIM,US$869.00,"$1,172.00","<div class=""tab-content"">
<h2><span class=""lpdname"">NIM-4SHDSL-EA</span> Specification </h2>
<div class=""std"">
        
        Multi-mode G.SHDSL NIM    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8000-series-edge-platforms-modules-cards-9_3.jpg 
MEM-C8300-8GB,Home/ Routers/ Enterprise Integrated Branch Routers/ Cisco Catalyst 8300 Series Edge Platforms/ MEM-C8300-8GB,MEM-C8300-8GB,Cisco,Cisco C8300 Edge Platform - 8 GB Memory,"US$5,175.00",$378.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">MEM-C8300-8GB</span> Specification </h2>
<div class=""std"">
        
        Cisco C8300 Edge Platform - 8 GB Memory    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8000-series-edge-platforms-modules-cards-14.jpg 
MEM-C8300-16GB,Home/ Routers/ Enterprise Integrated Branch Routers/ Cisco Catalyst 8300 Series Edge Platforms/ MEM-C8300-16GB,MEM-C8300-16GB,Cisco,Cisco C8300 Edge Platform - 16GB Memory,"US$6,325.00",$558.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">MEM-C8300-16GB</span> Specification </h2>
<div class=""std"">
        
        Cisco C8300 Edge Platform - 16GB Memory    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8000-series-edge-platforms-modules-cards-15.jpg 
MEM-C8500-32GB=,Home/ Routers/ WAN Aggregation and Internet Edge Routers/ Cisco Catalyst 8500 Series Edge Platforms/ MEM-C8500-32GB=,MEM-C8500-32GB=,Cisco,"Cisco C8500 32GB Memory, Spare","US$8,500.00",$452.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">MEM-C8500-32GB=</span> Specification </h2>
<div class=""std"">
        
        Cisco C8500 32GB Memory, Spare    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8000-series-edge-platforms-modules-cards-18_4.jpg 
MEM-C8500-16GB=,Home/ Routers/ WAN Aggregation and Internet Edge Routers/ Cisco Catalyst 8500 Series Edge Platforms/ MEM-C8500-16GB=,MEM-C8500-16GB=,Cisco,"Cisco C8500 16GB Memory, Spare","US$7,000.00",$289.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">MEM-C8500-16GB=</span> Specification </h2>
<div class=""std"">
        
        Cisco C8500 16GB Memory, Spare    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8000-series-edge-platforms-modules-cards-18_3.jpg 
SSD-M2SATA-480G=,Home/ Routers/ WAN Aggregation and Internet Edge Routers/ Cisco Catalyst 8500 Series Edge Platforms/ SSD-M2SATA-480G=,SSD-M2SATA-480G=,Cisco,"Cisco C8500 SSD M.2 SATA 480GB, Spare","US$4,927.00",$213.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">SSD-M2SATA-480G=</span> Specification </h2>
<div class=""std"">
        
        Cisco C8500 SSD M.2 SATA 480GB, Spare    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8000-series-edge-platforms-modules-cards-18_2.jpg 
SM-X-72FXS,Home/ Routers/ Enterprise Integrated Branch Routers/ Cisco Catalyst 8300 Series Edge Platforms/ SM-X-72FXS,SM-X-72FXS,Cisco,72-port FXS double-wide service module,"US$8,050.00",$347.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">SM-X-72FXS</span> Specification </h2>
<div class=""std"">
        
        72-port FXS double-wide service module    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-no-image-available_12.jpg 
SSD-M2NVME-600G,Home/ Routers/ Enterprise Integrated Branch Routers/ Cisco Catalyst 8300 Series Edge Platforms/ SSD-M2NVME-600G,SSD-M2NVME-600G,Cisco,Cisco C8000 Edge Platform - 600G M.2 NVMe SSD Storage,US$878.00,$436.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">SSD-M2NVME-600G</span> Specification </h2>
<div class=""std"">
        
        Cisco C8000 Edge Platform - 600G M.2 NVMe SSD Storage    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8000-series-edge-platforms-modules-cards-18_1.jpg 
M2USB-32G,Home/ Routers/ Enterprise Integrated Branch Routers/ Cisco Catalyst 8300 Series Edge Platforms/ M2USB-32G,M2USB-32G,Cisco,Cisco C8000 Edge Platform - 32G M.2 USB SSD Storage,"US$19,000.00",$345.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">M2USB-32G</span> Specification </h2>
<div class=""std"">
        
        Cisco C8000 Edge Platform - 32G M.2 USB SSD Storage    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8000-series-edge-platforms-modules-cards-18.jpg 
M2USB-16G,Home/ Routers/ Enterprise Integrated Branch Routers/ Cisco Catalyst 8300 Series Edge Platforms/ M2USB-16G,M2USB-16G,Cisco,Cisco C8000 Edge Platform - 16G M.2 USB SSD Storage,"US$27,500.00",$379.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">M2USB-16G</span> Specification </h2>
<div class=""std"">
        
        Cisco C8000 Edge Platform - 16G M.2 USB SSD Storage    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8000-series-edge-platforms-modules-cards-17.jpg 
MEM-C8300-32GB,Home/ Routers/ Enterprise Integrated Branch Routers/ Cisco Catalyst 8300 Series Edge Platforms/ MEM-C8300-32GB,MEM-C8300-32GB,Cisco,Cisco C8300 Edge Platform - 32GB Memory,"US$55,000.00",$641.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">MEM-C8300-32GB</span> Specification </h2>
<div class=""std"">
        
        Cisco C8300 Edge Platform - 32GB Memory    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8000-series-edge-platforms-modules-cards-16.jpg 
NIM-VAB-M,Home/ Routers/ Enterprise Integrated Branch Routers/ Cisco Catalyst 8300 Series Edge Platforms/ NIM-VAB-M,NIM-VAB-M,Cisco,Multi-mode VDSL2/ADSL/2/2+ NIM Annex M,"US$75,000.00",$535.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">NIM-VAB-M</span> Specification </h2>
<div class=""std"">
        
        Multi-mode VDSL2/ADSL/2/2+ NIM Annex M    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8000-series-edge-platforms-modules-cards-9_2.jpg 
NIM-VA-B,Home/ Routers/ Enterprise Integrated Branch Routers/ Cisco Catalyst 8300 Series Edge Platforms/ NIM-VA-B,NIM-VA-B,Cisco,Multi-mode VDSL2/ADSL/2/2+ NIM Annex B,"US$1,195.00","$1,100.00","<div class=""tab-content"">
<h2><span class=""lpdname"">NIM-VA-B</span> Specification </h2>
<div class=""std"">
        
        Multi-mode VDSL2/ADSL/2/2+ NIM Annex B    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8000-series-edge-platforms-modules-cards-9_1.jpg 
SM-X-16FXS/2FXO,Home/ Routers/ Enterprise Integrated Branch Routers/ Cisco Catalyst 8300 Series Edge Platforms/ SM-X-16FXS/2FXO,SM-X-16FXS/2FXO,Cisco,16-port FXS and 2-port FXO single-wide service module,"US$3,300.00",$137.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">SM-X-16FXS/2FXO</span> Specification </h2>
<div class=""std"">
        
        16-port FXS and 2-port FXO single-wide service module    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8000-series-edge-platforms-modules-cards-5.jpg 
SM-X-8FXS/12FXO,Home/ Routers/ Enterprise Integrated Branch Routers/ Cisco Catalyst 8300 Series Edge Platforms/ SM-X-8FXS/12FXO,SM-X-8FXS/12FXO,Cisco,8-port FXS and 12-port FXO single-wide service module,"US$1,780.00",$729.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">SM-X-8FXS/12FXO</span> Specification </h2>
<div class=""std"">
        
        8-port FXS and 12-port FXO single-wide service module    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8000-series-edge-platforms-modules-cards-4_1.jpg 
NIM-2FXSP/4FXOP,Home/ Routers/ Enterprise Integrated Branch Routers/ Cisco Catalyst 8300 Series Edge Platforms/ NIM-2FXSP/4FXOP,NIM-2FXSP/4FXOP,Cisco,2-port FXS and 4-port FXO NIM,"US$2,125.00",$837.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">NIM-2FXSP/4FXOP</span> Specification </h2>
<div class=""std"">
        
        2-port FXS and 4-port FXO NIM    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8000-series-edge-platforms-modules-cards-4.jpg 
UCS-E1120D-M3/K9,Home/ Routers/ Enterprise Integrated Branch Routers/ Cisco Catalyst 8300 Series Edge Platforms/ UCS-E1120D-M3/K9,UCS-E1120D-M3/K9,Cisco,"UCS-E, double-wide, Intel Broadwell 12-core CPU; up to 128 GB RAM, 1-4 HDD","US$5,200.00",$947.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">UCS-E1120D-M3/K9</span> Specification </h2>
<div class=""std"">
        
        UCS-E, double-wide, Intel Broadwell 12-core CPU; up to 128 GB RAM, 1-4 HDD    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8000-series-edge-platforms-modules-cards-3_2.jpg 
UCS-E180D-M3/K9,Home/ Routers/ Enterprise Integrated Branch Routers/ Cisco Catalyst 8300 Series Edge Platforms/ UCS-E180D-M3/K9,UCS-E180D-M3/K9,Cisco,"UCS-E, double-wide, Intel Broadwell 8-core CPU; up to 128 GB RAM, 1-4 HDD","US$1,865.00","$5,299.00","<div class=""tab-content"">
<h2><span class=""lpdname"">UCS-E180D-M3/K9</span> Specification </h2>
<div class=""std"">
        
        UCS-E, double-wide, Intel Broadwell 8-core CPU; up to 128 GB RAM, 1-4 HDD    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8000-series-edge-platforms-modules-cards-3_1.jpg 
UCS-E160S-M3/K9,Home/ Routers/ Enterprise Integrated Branch Routers/ Cisco Catalyst 8300 Series Edge Platforms/ UCS-E160S-M3/K9,UCS-E160S-M3/K9,Cisco,"UCS-E, single-wide, Intel Broadwell 6-core CPU; up to 64 GB RAM, 1-2 HDD","US$3,500.00",$737.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">UCS-E160S-M3/K9</span> Specification </h2>
<div class=""std"">
        
        UCS-E, single-wide, Intel Broadwell 6-core CPU; up to 64 GB RAM, 1-2 HDD    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8000-series-edge-platforms-modules-cards-3.jpg 
C-SM-40P4M2X,Home/ Routers/ Enterprise Integrated Branch Routers/ Cisco Catalyst 8300 Series Edge Platforms/ C-SM-40P4M2X,C-SM-40P4M2X,Cisco,Cisco 50-port Catalyst L2 switch module with UADP ASIC,"US$7,930.00","$2,248.00","<div class=""tab-content"">
<h2><span class=""lpdname"">C-SM-40P4M2X</span> Specification </h2>
<div class=""std"">
        
        Cisco 50-port Catalyst L2 switch module with UADP ASIC    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8000-series-edge-platforms-modules-cards-2_1.jpg 
C-SM-16P4M2X,Home/ Routers/ Enterprise Integrated Branch Routers/ Cisco Catalyst 8300 Series Edge Platforms/ C-SM-16P4M2X,C-SM-16P4M2X,Cisco,Cisco 22-port Catalyst L2 switch module with UADP ASIC,"US$3,590.00","$4,038.00","<div class=""tab-content"">
<h2><span class=""lpdname"">C-SM-16P4M2X</span> Specification </h2>
<div class=""std"">
        
        Cisco 22-port Catalyst L2 switch module with UADP ASIC    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8000-series-edge-platforms-modules-cards-2.jpg 
SM-X-24FXS/4FXO,Home/ Routers/ Enterprise Integrated Branch Routers/ Cisco Catalyst 8300 Series Edge Platforms/ SM-X-24FXS/4FXO,SM-X-24FXS/4FXO,Cisco,24-port FXS and 4-port FXO single-wide service module,"US$4,174.00",$213.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">SM-X-24FXS/4FXO</span> Specification </h2>
<div class=""std"">
        
        24-port FXS and 4-port FXO single-wide service module    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8000-series-edge-platforms-modules-cards-6.jpg 
NIM-PVDM-32,Home/ Routers/ Enterprise Integrated Branch Routers/ Cisco Catalyst 8300 Series Edge Platforms/ NIM-PVDM-32,NIM-PVDM-32,Cisco,32-channel Voice DSP NIM Module,"US$2,495.00",$126.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">NIM-PVDM-32</span> Specification </h2>
<div class=""std"">
        
        32-channel Voice DSP NIM Module    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8000-series-edge-platforms-modules-cards-7.jpg 
NIM-VAB-A,Home/ Routers/ Enterprise Integrated Branch Routers/ Cisco Catalyst 8300 Series Edge Platforms/ NIM-VAB-A,NIM-VAB-A,Cisco,Multi-mode VDSL2/ADSL/2/2+ NIM Annex A,"US$1,700.00",$746.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">NIM-VAB-A</span> Specification </h2>
<div class=""std"">
        
        Multi-mode VDSL2/ADSL/2/2+ NIM Annex A    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8000-series-edge-platforms-modules-cards-9.jpg 
SM-X-PVDM-500,Home/ Routers/ Enterprise Integrated Branch Routers/ Cisco Catalyst 8300 Series Edge Platforms/ SM-X-PVDM-500,SM-X-PVDM-500,Cisco,768-channel high-density voice DSP module,"US$2,500.00","$1,125.00","<div class=""tab-content"">
<h2><span class=""lpdname"">SM-X-PVDM-500</span> Specification </h2>
<div class=""std"">
        
        768-channel high-density voice DSP module    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8000-series-edge-platforms-modules-cards-8_3.jpg 
SM-X-PVDM-1000,Home/ Routers/ Enterprise Integrated Branch Routers/ Cisco Catalyst 8300 Series Edge Platforms/ SM-X-PVDM-1000,SM-X-PVDM-1000,Cisco,1024-channel high-density voice DSP module,"US$1,500.00","$1,524.00","<div class=""tab-content"">
<h2><span class=""lpdname"">SM-X-PVDM-1000</span> Specification </h2>
<div class=""std"">
        
        1024-channel high-density voice DSP module    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8000-series-edge-platforms-modules-cards-8_2.jpg 
SM-X-PVDM-2000,Home/ Routers/ Enterprise Integrated Branch Routers/ Cisco Catalyst 8300 Series Edge Platforms/ SM-X-PVDM-2000,SM-X-PVDM-2000,Cisco,2048-channel high-density voice DSP module,"US$2,100.00","$3,883.00","<div class=""tab-content"">
<h2><span class=""lpdname"">SM-X-PVDM-2000</span> Specification </h2>
<div class=""std"">
        
        2048-channel high-density voice DSP module    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8000-series-edge-platforms-modules-cards-8_1.jpg 
SM-X-PVDM-3000,Home/ Routers/ Enterprise Integrated Branch Routers/ Cisco Catalyst 8300 Series Edge Platforms/ SM-X-PVDM-3000,SM-X-PVDM-3000,Cisco,3080-channel high-density voice DSP module,US$550.00,$551.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">SM-X-PVDM-3000</span> Specification </h2>
<div class=""std"">
        
        3080-channel high-density voice DSP module    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8000-series-edge-platforms-modules-cards-8.jpg 
NIM-PVDM-256,Home/ Routers/ Enterprise Integrated Branch Routers/ Cisco Catalyst 8300 Series Edge Platforms/ NIM-PVDM-256,NIM-PVDM-256,Cisco,256-channel Voice DSP NIM Module,"US$1,150.00",$194.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">NIM-PVDM-256</span> Specification </h2>
<div class=""std"">
        
        256-channel Voice DSP NIM Module    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8000-series-edge-platforms-modules-cards-7_3.jpg 
NIM-PVDM-128,Home/ Routers/ Enterprise Integrated Branch Routers/ Cisco Catalyst 8300 Series Edge Platforms/ NIM-PVDM-128,NIM-PVDM-128,Cisco,128-channel Voice DSP NIM Module,"US$2,060.00","$1,099.00","<div class=""tab-content"">
<h2><span class=""lpdname"">NIM-PVDM-128</span> Specification </h2>
<div class=""std"">
        
        128-channel Voice DSP NIM Module    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8000-series-edge-platforms-modules-cards-7_2.jpg 
NIM-PVDM-64,Home/ Routers/ Enterprise Integrated Branch Routers/ Cisco Catalyst 8300 Series Edge Platforms/ NIM-PVDM-64,NIM-PVDM-64,Cisco,64-channel Voice DSP NIM Module,"US$1,430.00",$666.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">NIM-PVDM-64</span> Specification </h2>
<div class=""std"">
        
        64-channel Voice DSP NIM Module    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8000-series-edge-platforms-modules-cards-7_1.jpg 
MEM-C8500-64GB=,Home/ Routers/ WAN Aggregation and Internet Edge Routers/ Cisco Catalyst 8500 Series Edge Platforms/ MEM-C8500-64GB=,MEM-C8500-64GB=,Cisco,"Cisco C8500 64GB Memory, Spare",US$800.00,$651.00,"<div class=""tab-content"">
<h2><span class=""lpdname"">MEM-C8500-64GB=</span> Specification </h2>
<div class=""std"">
        
        Cisco C8500 64GB Memory, Spare    </div>
</div>",https://img.router-switch.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/i/cisco-catalyst-8000-series-edge-platforms-modules-cards-18_5.jpg 
